sensor,mean +- sd,range,corr with RUL
1,472.86 +- 26.46,445.00 - 518.67,+0.005
2,579.60 +- 37.39,535.65 - 644.43,-0.003
3,1419.95 +- 106.29,1245.43 - 1614.66,-0.026
4,1205.67 +- 119.55,1029.49 - 1442.36,-0.038
5,8.03 +- 3.63,3.91 - 14.62,+0.005
6,11.60 +- 5.45,5.71 - 21.61,+0.005
7,282.47 +- 146.54,136.75 - 555.72,+0.007
8,2228.41 +- 145.58,1914.85 - 2388.36,-0.000
9,8523.55 +- 336.78,7988.74 - 9216.83,-0.017
10,1.09 +- 0.13,0.93 - 1.30,+0.008
11,42.99 +- 3.24,36.21 - 48.39,-0.048
12,265.94 +- 138.16,129.24 - 523.46,+0.007
13,2334.19 +- 128.43,2027.72 - 2390.74,-0.002
14,8065.55 +- 84.96,7851.59 - 8274.88,-0.053
15,9.33 +- 0.75,8.33 - 11.08,-0.035
16,0.02 +- 0.00,0.02 - 0.03,-0.067
17,348.29 +- 27.84,303.00 - 398.00,-0.026
18,2228.34 +- 145.69,1915.00 - 2388.00,+0.000
19,97.74 +- 5.38,84.93 - 100.00,-0.002
20,20.78 +- 9.90,10.23 - 39.33,+0.011
21,12.47 +- 5.94,6.13 - 23.59,+0.011
