instance,rank,feature,weight,direction
8453,1,time,-41.0213,lowers
8453,2,S15,-16.9328,lowers
8453,3,S11,-12.8027,lowers
8453,4,S4,-6.8725,lowers
8453,5,S13,-6.4118,lowers
8453,6,S3,-2.4704,lowers
8453,7,S7,+2.1115,raises
8453,8,S21,+1.5530,raises
7520,1,time,-40.9075,lowers
7520,2,S15,-16.7446,lowers
7520,3,S11,-12.6621,lowers
7520,4,S4,-7.4772,lowers
7520,5,S13,-5.5487,lowers
7520,6,S7,+2.6808,raises
7520,7,S3,-2.4547,lowers
7520,8,S21,+1.6128,raises
5946,1,time,-42.3978,lowers
5946,2,S15,-17.2431,lowers
5946,3,S11,-12.9725,lowers
5946,4,S4,-7.7924,lowers
5946,5,S13,-6.4950,lowers
5946,6,S7,+2.9383,raises
5946,7,S3,-2.1581,lowers
5946,8,S21,+2.0131,raises
268,1,time,-42.6662,lowers
268,2,S15,-16.2731,lowers
268,3,S11,-12.4018,lowers
268,4,S4,-7.4348,lowers
268,5,S13,-6.0072,lowers
268,6,S3,-2.2497,lowers
268,7,S7,+1.9909,raises
268,8,S21,+1.6734,raises
1086,1,time,-43.4963,lowers
1086,2,S15,-16.2289,lowers
1086,3,S11,-12.4563,lowers
1086,4,S4,-7.2730,lowers
1086,5,S13,-5.9689,lowers
1086,6,S7,+2.2128,raises
1086,7,S3,-2.1864,lowers
1086,8,S12,+1.2475,raises
2986,1,time,-42.6672,lowers
2986,2,S15,-16.9472,lowers
2986,3,S11,-12.2706,lowers
2986,4,S4,-7.4218,lowers
2986,5,S13,-5.4980,lowers
2986,6,S3,-1.9965,lowers
2986,7,S7,+1.8206,raises
2986,8,S12,+1.4496,raises
701,1,time,-43.4438,lowers
701,2,S15,-16.6173,lowers
701,3,S11,-11.9980,lowers
701,4,S4,-6.8585,lowers
701,5,S13,-6.0956,lowers
701,6,S7,+2.4675,raises
701,7,S3,-2.0168,lowers
701,8,S21,+1.7600,raises
5139,1,time,-43.1998,lowers
5139,2,S15,-16.4389,lowers
5139,3,S11,-12.3530,lowers
5139,4,S4,-7.6206,lowers
5139,5,S13,-5.3750,lowers
5139,6,S3,-2.0006,lowers
5139,7,S7,+1.5780,raises
5139,8,S21,+1.0308,raises
