instance,rank,feature,mean_abs_weight,mean_signed_weight,direction
8453,1,time,40.8761,-40.8761,lowers
8453,2,S15,16.9627,-16.9627,lowers
8453,3,S11,12.7769,-12.7769,lowers
8453,4,S4,7.4800,-7.4800,lowers
8453,5,S13,6.2856,-6.2856,lowers
8453,6,S3,2.4146,-2.4146,lowers
8453,7,S7,2.2581,+2.2581,raises
8453,8,S12,1.4298,+1.4298,raises
7520,1,time,41.0362,-41.0362,lowers
7520,2,S15,17.1015,-17.1015,lowers
7520,3,S11,12.8993,-12.8993,lowers
7520,4,S4,7.5154,-7.5154,lowers
7520,5,S13,6.4498,-6.4498,lowers
7520,6,S7,2.4178,+2.4178,raises
7520,7,S3,1.9688,-1.9688,lowers
7520,8,S21,1.9100,+1.9100,raises
5946,1,time,42.3671,-42.3671,lowers
5946,2,S15,17.0008,-17.0008,lowers
5946,3,S11,12.5681,-12.5681,lowers
5946,4,S4,7.3063,-7.3063,lowers
5946,5,S13,6.0883,-6.0883,lowers
5946,6,S3,2.4378,-2.4378,lowers
5946,7,S7,2.3896,+2.3896,raises
5946,8,S12,1.2617,+1.2617,raises
268,1,time,42.4718,-42.4718,lowers
268,2,S15,16.6504,-16.6504,lowers
268,3,S11,12.2749,-12.2749,lowers
268,4,S4,7.4490,-7.4490,lowers
268,5,S13,5.7928,-5.7928,lowers
268,6,S3,2.3178,-2.3178,lowers
268,7,S7,1.7582,+1.7582,raises
268,8,S21,1.5482,+1.5482,raises
1086,1,time,42.9954,-42.9954,lowers
1086,2,S15,16.4144,-16.4144,lowers
1086,3,S11,12.3106,-12.3106,lowers
1086,4,S4,7.4501,-7.4501,lowers
1086,5,S13,5.9548,-5.9548,lowers
1086,6,S7,2.2898,+2.2898,raises
1086,7,S3,2.2150,-2.2150,lowers
1086,8,S21,1.2677,+1.2677,raises
2986,1,time,42.1937,-42.1937,lowers
2986,2,S15,16.6853,-16.6853,lowers
2986,3,S11,12.1406,-12.1406,lowers
2986,4,S4,7.5384,-7.5384,lowers
2986,5,S13,4.5701,-4.5701,lowers
2986,6,S3,2.3869,-2.3869,lowers
2986,7,S7,2.1836,+2.1836,raises
2986,8,S21,1.4175,+1.4175,raises
701,1,time,43.6895,-43.6895,lowers
701,2,S15,16.5588,-16.5588,lowers
701,3,S11,12.2640,-12.2640,lowers
701,4,S4,7.1745,-7.1745,lowers
701,5,S13,5.9349,-5.9349,lowers
701,6,S3,2.2121,-2.2121,lowers
701,7,S7,2.1927,+2.1927,raises
701,8,S21,1.6466,+1.6466,raises
5139,1,time,43.3576,-43.3576,lowers
5139,2,S15,16.4145,-16.4145,lowers
5139,3,S11,12.0655,-12.0655,lowers
5139,4,S4,7.2401,-7.2401,lowers
5139,5,S13,5.0312,-5.0312,lowers
5139,6,S3,2.3307,-2.3307,lowers
5139,7,S7,1.9443,+1.9443,raises
5139,8,S21,1.4193,+1.4193,raises
