method,instance,jaccard@5,jaccard@8,jaccard@10,spearman
LIME,8453,1.0000,0.8831,0.7964,0.8388
LIME,7520,1.0000,0.8892,0.8128,0.8364
LIME,5946,1.0000,0.8824,0.8073,0.8431
LIME,268,1.0000,0.8678,0.7946,0.8556
LIME,1086,1.0000,0.8528,0.7679,0.8513
LIME,2986,1.0000,0.8486,0.7761,0.8487
LIME,701,1.0000,0.8777,0.8129,0.8475
LIME,5139,1.0000,0.8281,0.7718,0.8563
WA-LIME B=2,8453,1.0000,0.9270,0.8343,0.8717
WA-LIME B=2,7520,1.0000,0.9300,0.8416,0.8751
WA-LIME B=2,5946,1.0000,0.9362,0.8532,0.8806
WA-LIME B=2,268,1.0000,0.9098,0.8312,0.8967
WA-LIME B=2,1086,1.0000,0.9090,0.8244,0.8989
WA-LIME B=2,2986,1.0000,0.8975,0.8031,0.8942
WA-LIME B=2,701,1.0000,0.9482,0.8515,0.8821
WA-LIME B=2,5139,1.0000,0.8742,0.8041,0.8999
WA-LIME B=3,8453,1.0000,0.9587,0.8520,0.8925
WA-LIME B=3,7520,1.0000,0.9454,0.8603,0.8958
WA-LIME B=3,5946,1.0000,0.9662,0.8749,0.8983
WA-LIME B=3,268,1.0000,0.9370,0.8520,0.9131
WA-LIME B=3,1086,1.0000,0.9370,0.8463,0.9147
WA-LIME B=3,2986,1.0000,0.9227,0.8308,0.9205
WA-LIME B=3,701,1.0000,0.9632,0.8666,0.9008
WA-LIME B=3,5139,1.0000,0.8978,0.8234,0.9165
WA-LIME B=5,8453,1.0000,0.9826,0.8782,0.9155
WA-LIME B=5,7520,1.0000,0.9596,0.8990,0.9165
WA-LIME B=5,5946,1.0000,0.9869,0.8943,0.9134
WA-LIME B=5,268,1.0000,0.9747,0.8578,0.9279
WA-LIME B=5,1086,1.0000,0.9514,0.8590,0.9308
WA-LIME B=5,2986,1.0000,0.9742,0.8568,0.9393
WA-LIME B=5,701,1.0000,0.9912,0.9151,0.9164
WA-LIME B=5,5139,1.0000,0.9316,0.8337,0.9349
WA-LIME B=10,8453,1.0000,1.0000,0.8934,0.9328
WA-LIME B=10,7520,1.0000,1.0000,0.9159,0.9287
WA-LIME B=10,5946,1.0000,1.0000,0.9185,0.9332
WA-LIME B=10,268,1.0000,0.9828,0.8710,0.9391
WA-LIME B=10,1086,1.0000,0.9956,0.9040,0.9422
WA-LIME B=10,2986,1.0000,0.9785,0.8851,0.9565
WA-LIME B=10,701,1.0000,0.9912,0.9512,0.9327
WA-LIME B=10,5139,1.0000,0.9705,0.8728,0.9483
WA-LIME B=20,8453,1.0000,1.0000,0.8957,0.9453
WA-LIME B=20,7520,1.0000,1.0000,0.9406,0.9372
WA-LIME B=20,5946,1.0000,1.0000,0.9661,0.9413
WA-LIME B=20,268,1.0000,1.0000,0.9045,0.9462
WA-LIME B=20,1086,1.0000,1.0000,0.9048,0.9461
WA-LIME B=20,2986,1.0000,1.0000,0.9062,0.9612
WA-LIME B=20,701,1.0000,1.0000,0.9756,0.9426
WA-LIME B=20,5139,1.0000,0.9912,0.8949,0.9594
LIME n=25000 (compute-matched to B=5),8453,1.0000,0.9596,0.8617,0.9289
LIME n=25000 (compute-matched to B=5),7520,1.0000,0.9703,0.8862,0.9276
LIME n=25000 (compute-matched to B=5),5946,1.0000,0.9785,0.8870,0.9291
LIME n=25000 (compute-matched to B=5),268,1.0000,0.9705,0.8548,0.9374
LIME n=25000 (compute-matched to B=5),1086,1.0000,0.9505,0.8495,0.9386
LIME n=25000 (compute-matched to B=5),2986,1.0000,0.9467,0.8474,0.9494
LIME n=25000 (compute-matched to B=5),701,1.0000,0.9747,0.8879,0.9322
LIME n=25000 (compute-matched to B=5),5139,1.0000,0.9432,0.8526,0.9513
