instance,feature,mean_weight,sd_weight,snr,mean_rank,rank_sd,top8_rate
8453,time,-40.4985,0.4889,82.84,1.00,0.00,1.0000
8453,S15,-17.2969,0.3425,50.50,2.00,0.00,1.0000
8453,S11,-12.7167,0.2963,42.91,3.00,0.00,1.0000
8453,S4,-7.5562,0.2937,25.72,4.00,0.00,1.0000
8453,S13,-6.2498,0.2961,21.11,5.00,0.00,1.0000
8453,S3,-2.2770,0.3838,5.93,6.50,0.54,1.0000
8453,S7,+2.2352,0.3082,7.25,6.58,0.59,1.0000
8453,S21,+1.5249,0.2840,5.37,8.48,1.04,0.6800
8453,S12,+1.2305,0.3305,3.72,9.83,1.93,0.1900
8453,S20,+0.9642,0.3450,2.79,11.48,2.82,0.0500
8453,S2,-0.9529,0.3148,3.03,11.59,2.38,0.0400
8453,S16,-0.8945,0.3111,2.87,11.93,2.67,0.0400
8453,S9,-0.5961,0.3552,1.68,15.03,4.10,0.0000
8453,S6,-0.5235,0.2993,1.75,15.89,3.86,0.0000
8453,S17,-0.4040,0.3079,1.31,17.23,4.32,0.0000
8453,S14,+0.2224,0.3484,0.64,18.98,3.96,0.0000
8453,S8,+0.2102,0.3084,0.68,18.84,3.62,0.0000
8453,OS3,-0.0878,0.3449,0.25,19.63,3.69,0.0000
8453,OS2,+0.0462,0.3336,0.14,20.01,3.53,0.0000
8453,S10,-0.0388,0.3678,0.11,19.39,3.73,0.0000
8453,S19,+0.0295,0.3463,0.09,19.47,3.42,0.0000
8453,S1,+0.0276,0.3253,0.08,20.01,3.62,0.0000
8453,S5,+0.0265,0.3520,0.08,19.32,3.70,0.0000
8453,OS1,-0.0199,0.3365,0.06,20.08,3.59,0.0000
8453,S18,+0.0145,0.3457,0.04,19.73,3.94,0.0000
7520,time,-40.9752,0.4778,85.76,1.00,0.00,1.0000
7520,S15,-17.1947,0.3317,51.84,2.00,0.00,1.0000
7520,S11,-12.6654,0.3367,37.62,3.00,0.00,1.0000
7520,S4,-7.4712,0.3425,21.81,4.02,0.14,1.0000
7520,S13,-6.3718,0.3701,17.22,4.98,0.14,1.0000
7520,S7,+2.2698,0.3516,6.46,6.51,0.64,0.9800
7520,S3,-2.2136,0.3724,5.94,6.64,0.75,0.9800
7520,S21,+1.4615,0.3299,4.43,8.68,1.35,0.6300
7520,S12,+1.1591,0.3528,3.29,10.09,2.05,0.2300
7520,S20,+0.9804,0.3578,2.74,11.26,2.66,0.0700
7520,S2,-0.8623,0.3406,2.53,11.96,3.21,0.0300
7520,S16,-0.8572,0.3561,2.41,12.13,3.09,0.0600
7520,S9,-0.5933,0.3542,1.67,14.80,4.10,0.0200
7520,S6,-0.4959,0.3095,1.60,15.77,4.08,0.0000
7520,S17,-0.3277,0.3134,1.05,17.66,4.10,0.0000
7520,S8,+0.2217,0.3577,0.62,17.97,3.91,0.0000
7520,S18,-0.0672,0.3313,0.20,19.59,3.78,0.0000
7520,S14,+0.0622,0.3310,0.19,19.28,3.67,0.0000
7520,OS2,+0.0621,0.3262,0.19,19.76,3.86,0.0000
7520,OS1,+0.0399,0.3225,0.12,20.05,4.11,0.0000
7520,S1,+0.0270,0.3264,0.08,19.33,3.50,0.0000
7520,S10,+0.0187,0.3250,0.06,20.05,3.81,0.0000
7520,S19,-0.0170,0.3204,0.05,19.41,3.29,0.0000
7520,OS3,-0.0099,0.3474,0.03,19.48,3.90,0.0000
7520,S5,-0.0066,0.3152,0.02,19.58,3.75,0.0000
5946,time,-42.3655,0.4244,99.83,1.00,0.00,1.0000
5946,S15,-16.9218,0.3117,54.29,2.00,0.00,1.0000
5946,S11,-12.4286,0.3244,38.32,3.00,0.00,1.0000
5946,S4,-7.2406,0.3303,21.92,4.00,0.00,1.0000
5946,S13,-6.1746,0.2901,21.28,5.00,0.00,1.0000
5946,S7,+2.2868,0.2948,7.76,6.51,0.58,1.0000
5946,S3,-2.2292,0.3247,6.87,6.59,0.60,1.0000
5946,S21,+1.5579,0.2788,5.59,8.27,0.83,0.7900
5946,S12,+1.1960,0.3210,3.73,9.85,2.19,0.1600
5946,S20,+0.9703,0.2755,3.52,11.06,2.00,0.0300
5946,S2,-0.8139,0.3120,2.61,12.46,3.03,0.0100
5946,S16,-0.7925,0.3179,2.49,12.67,2.94,0.0000
5946,S9,-0.6310,0.3399,1.86,14.35,4.02,0.0000
5946,S6,-0.4906,0.3236,1.52,16.12,4.09,0.0000
5946,S17,-0.4093,0.3007,1.36,16.96,3.87,0.0000
5946,S8,+0.2695,0.3339,0.81,18.47,4.27,0.0100
5946,OS3,-0.0994,0.3330,0.30,19.41,3.77,0.0000
5946,S14,+0.0787,0.3544,0.22,19.38,4.10,0.0000
5946,OS1,-0.0686,0.3236,0.21,20.02,3.65,0.0000
5946,S10,+0.0516,0.3182,0.16,19.83,3.45,0.0000
5946,S5,-0.0495,0.3294,0.15,19.64,4.06,0.0000
5946,OS2,+0.0283,0.3243,0.09,19.39,3.50,0.0000
5946,S1,+0.0249,0.3219,0.08,19.71,3.51,0.0000
5946,S18,+0.0065,0.3473,0.02,19.58,3.67,0.0000
5946,S19,+0.0065,0.3416,0.02,19.73,3.78,0.0000
268,time,-42.4514,0.4225,100.47,1.00,0.00,1.0000
268,S15,-16.7273,0.3485,48.00,2.00,0.00,1.0000
268,S11,-12.4568,0.3016,41.30,3.00,0.00,1.0000
268,S4,-7.4550,0.2901,25.70,4.00,0.00,1.0000
268,S13,-5.7559,0.3062,18.80,5.00,0.00,1.0000
268,S3,-2.3557,0.3025,7.79,6.35,0.52,1.0000
268,S7,+2.1096,0.2932,7.19,6.74,0.58,1.0000
268,S21,+1.4371,0.3332,4.31,8.59,1.16,0.6400
268,S12,+1.1179,0.3057,3.66,10.20,2.09,0.1800
268,S2,-0.9963,0.3122,3.19,10.99,2.41,0.0500
268,S16,-0.9153,0.3019,3.03,11.72,2.50,0.0600
268,S20,+0.9097,0.2811,3.24,11.74,2.60,0.0500
268,S9,-0.6396,0.2919,2.19,14.25,3.41,0.0000
268,S17,-0.5823,0.3307,1.76,15.19,3.90,0.0000
268,S6,-0.5293,0.2927,1.81,15.63,3.79,0.0100
268,S8,+0.3048,0.3036,1.00,18.60,4.05,0.0000
268,OS2,+0.1084,0.3080,0.35,19.94,3.36,0.0000
268,OS3,-0.0894,0.2608,0.34,20.19,3.05,0.0000
268,S14,+0.0560,0.2990,0.19,20.06,3.52,0.0000
268,S1,-0.0362,0.2902,0.12,20.44,3.22,0.0000
268,S19,+0.0189,0.3385,0.06,19.70,3.48,0.0000
268,S18,+0.0141,0.3057,0.05,20.20,3.58,0.0100
268,OS1,+0.0128,0.3186,0.04,19.91,3.56,0.0000
268,S5,-0.0029,0.3218,0.01,19.77,3.33,0.0000
268,S10,+0.0003,0.3138,0.00,19.79,3.59,0.0000
1086,time,-43.1883,0.4627,93.34,1.00,0.00,1.0000
1086,S15,-16.4804,0.2894,56.95,2.00,0.00,1.0000
1086,S11,-12.3509,0.3317,37.23,3.00,0.00,1.0000
1086,S4,-7.3665,0.3223,22.86,4.00,0.00,1.0000
1086,S13,-5.6787,0.3153,18.01,5.00,0.00,1.0000
1086,S3,-2.3132,0.2654,8.72,6.25,0.44,1.0000
1086,S7,+2.0047,0.3295,6.08,6.85,0.61,0.9800
1086,S21,+1.3705,0.2822,4.86,8.66,1.33,0.6600
1086,S12,+1.0337,0.2636,3.92,10.44,1.83,0.0900
1086,S2,-0.9828,0.2989,3.29,10.99,2.52,0.1100
1086,S20,+0.9662,0.3231,2.99,11.13,2.63,0.0900
1086,S16,-0.8197,0.2596,3.16,12.10,2.46,0.0500
1086,S9,-0.5907,0.2971,1.99,14.75,3.76,0.0000
1086,S17,-0.5528,0.3229,1.71,15.25,3.95,0.0200
1086,S6,-0.5366,0.2583,2.08,15.33,3.64,0.0000
1086,S8,+0.3137,0.2539,1.24,18.59,3.68,0.0000
1086,OS2,+0.1006,0.2737,0.37,20.26,3.38,0.0000
1086,OS3,-0.0684,0.3140,0.22,19.75,3.75,0.0000
1086,S10,+0.0578,0.2995,0.19,20.08,3.61,0.0000
1086,S19,-0.0334,0.3237,0.10,19.67,3.48,0.0000
1086,OS1,-0.0211,0.3202,0.07,19.96,3.49,0.0000
