method,instance,rank,modal_feature,modal_share,n_distinct,mean_abs_weight
LIME,8453,1,time,1.0000,1,40.4985
LIME,8453,2,S15,1.0000,1,17.2969
LIME,8453,3,S11,1.0000,1,12.7167
LIME,8453,4,S4,1.0000,1,7.5562
LIME,8453,5,S13,1.0000,1,6.2498
LIME,8453,6,S3,0.5200,3,2.4466
LIME,8453,7,S7,0.4800,4,2.0799
LIME,8453,8,S21,0.6300,7,1.5954
WA-LIME B=5,8453,1,time,1.0000,1,40.4498
WA-LIME B=5,8453,2,S15,1.0000,1,17.2809
WA-LIME B=5,8453,3,S11,1.0000,1,12.7381
WA-LIME B=5,8453,4,S4,1.0000,1,7.6087
WA-LIME B=5,8453,5,S13,1.0000,1,6.2645
WA-LIME B=5,8453,6,S3,0.5400,2,2.3314
WA-LIME B=5,8453,7,S7,0.5400,2,2.1731
WA-LIME B=5,8453,8,S21,0.8900,4,1.5711
LIME,7520,1,time,1.0000,1,40.9752
LIME,7520,2,S15,1.0000,1,17.1947
LIME,7520,3,S11,1.0000,1,12.6654
LIME,7520,4,S4,0.9800,2,7.4750
LIME,7520,5,S13,0.9800,2,6.3679
LIME,7520,6,S7,0.5500,2,2.4537
LIME,7520,7,S3,0.5000,4,2.0596
LIME,7520,8,S21,0.5600,8,1.5586
WA-LIME B=5,7520,1,time,1.0000,1,41.0116
WA-LIME B=5,7520,2,S15,1.0000,1,17.2230
WA-LIME B=5,7520,3,S11,1.0000,1,12.6310
WA-LIME B=5,7520,4,S4,1.0000,1,7.3991
WA-LIME B=5,7520,5,S13,1.0000,1,6.3614
WA-LIME B=5,7520,6,S7,0.6300,2,2.3654
WA-LIME B=5,7520,7,S3,0.6300,2,2.1757
WA-LIME B=5,7520,8,S21,0.9400,2,1.5498
LIME,5946,1,time,1.0000,1,42.3655
LIME,5946,2,S15,1.0000,1,16.9218
LIME,5946,3,S11,1.0000,1,12.4286
LIME,5946,4,S4,1.0000,1,7.2406
LIME,5946,5,S13,1.0000,1,6.1746
LIME,5946,6,S7,0.5300,2,2.4334
LIME,5946,7,S3,0.4700,5,2.0948
LIME,5946,8,S21,0.7300,7,1.6040
WA-LIME B=5,5946,1,time,1.0000,1,42.3459
WA-LIME B=5,5946,2,S15,1.0000,1,16.9392
WA-LIME B=5,5946,3,S11,1.0000,1,12.4647
WA-LIME B=5,5946,4,S4,1.0000,1,7.2393
WA-LIME B=5,5946,5,S13,1.0000,1,6.1753
WA-LIME B=5,5946,6,S7,0.5800,2,2.3410
WA-LIME B=5,5946,7,S3,0.5800,2,2.1644
WA-LIME B=5,5946,8,S21,0.9200,3,1.5299
LIME,268,1,time,1.0000,1,42.4514
LIME,268,2,S15,1.0000,1,16.7273
LIME,268,3,S11,1.0000,1,12.4568
LIME,268,4,S4,1.0000,1,7.4550
LIME,268,5,S13,1.0000,1,5.7559
LIME,268,6,S3,0.6700,2,2.4491
LIME,268,7,S7,0.6000,5,2.0392
LIME,268,8,S21,0.5700,9,1.5037
WA-LIME B=5,268,1,time,1.0000,1,42.5369
WA-LIME B=5,268,2,S15,1.0000,1,16.6698
WA-LIME B=5,268,3,S11,1.0000,1,12.4516
WA-LIME B=5,268,4,S4,1.0000,1,7.4127
WA-LIME B=5,268,5,S13,1.0000,1,5.8254
WA-LIME B=5,268,6,S3,0.8800,2,2.3253
WA-LIME B=5,268,7,S7,0.8800,2,2.0799
WA-LIME B=5,268,8,S21,0.9600,3,1.4531
