method,instance,rank,feature,share
LIME,8453,1,time,1.0000
LIME,8453,2,S15,1.0000
LIME,8453,3,S11,1.0000
LIME,8453,4,S4,1.0000
LIME,8453,5,S13,1.0000
LIME,8453,6,S3,0.5200
LIME,8453,6,S7,0.4700
LIME,8453,7,S7,0.4800
LIME,8453,7,S3,0.4600
LIME,8453,7,S21,0.0400
LIME,8453,7,S12,0.0200
LIME,8453,8,S21,0.6300
LIME,8453,8,S12,0.1700
LIME,8453,8,S7,0.0500
LIME,8453,8,S20,0.0500
LIME,8453,8,S16,0.0400
LIME,8453,8,S2,0.0400
LIME,8453,8,S3,0.0200
WA-LIME B=5,8453,1,time,1.0000
WA-LIME B=5,8453,2,S15,1.0000
WA-LIME B=5,8453,3,S11,1.0000
WA-LIME B=5,8453,4,S4,1.0000
WA-LIME B=5,8453,5,S13,1.0000
WA-LIME B=5,8453,6,S3,0.5400
WA-LIME B=5,8453,6,S7,0.4600
WA-LIME B=5,8453,7,S7,0.5400
WA-LIME B=5,8453,7,S3,0.4600
WA-LIME B=5,8453,8,S21,0.8900
WA-LIME B=5,8453,8,S12,0.0800
WA-LIME B=5,8453,8,S20,0.0200
LIME,7520,1,time,1.0000
LIME,7520,2,S15,1.0000
LIME,7520,3,S11,1.0000
LIME,7520,4,S4,0.9800
LIME,7520,4,S13,0.0200
LIME,7520,5,S13,0.9800
LIME,7520,5,S4,0.0200
LIME,7520,6,S7,0.5500
LIME,7520,6,S3,0.4500
LIME,7520,7,S3,0.5000
LIME,7520,7,S7,0.4100
LIME,7520,7,S21,0.0700
LIME,7520,7,S12,0.0200
LIME,7520,8,S21,0.5600
LIME,7520,8,S12,0.2100
LIME,7520,8,S20,0.0700
LIME,7520,8,S16,0.0600
LIME,7520,8,S3,0.0300
LIME,7520,8,S2,0.0300
LIME,7520,8,S9,0.0200
LIME,7520,8,S7,0.0200
WA-LIME B=5,7520,1,time,1.0000
WA-LIME B=5,7520,2,S15,1.0000
WA-LIME B=5,7520,3,S11,1.0000
WA-LIME B=5,7520,4,S4,1.0000
WA-LIME B=5,7520,5,S13,1.0000
WA-LIME B=5,7520,6,S7,0.6300
WA-LIME B=5,7520,6,S3,0.3700
WA-LIME B=5,7520,7,S3,0.6300
WA-LIME B=5,7520,7,S7,0.3700
WA-LIME B=5,7520,8,S21,0.9400
WA-LIME B=5,7520,8,S12,0.0600
LIME,5946,1,time,1.0000
LIME,5946,2,S15,1.0000
LIME,5946,3,S11,1.0000
LIME,5946,4,S4,1.0000
LIME,5946,5,S13,1.0000
LIME,5946,6,S7,0.5300
LIME,5946,6,S3,0.4700
LIME,5946,7,S3,0.4700
