feature,mean_weight,sd_abs_weight,snr,mean_rank,rank_sd,top8_rate
time,-42.9243,0.387,110.9,1.0,0.0,1.0
S15,-16.3674,0.3034,53.95,2.0,0.0,1.0
S11,-12.0723,0.3102,38.92,3.0,0.0,1.0
S4,-7.4522,0.3029,24.6,4.0,0.0,1.0
S13,-4.8686,0.3142,15.49,5.0,0.0,1.0
S3,-2.3842,0.3319,7.18,6.185,0.413,1.0
S7,1.9872,0.3209,6.19,6.96,0.607,0.98
S21,1.373,0.2803,4.9,9.01,1.442,0.455
S2,-1.1275,0.3102,3.63,10.475,2.193,0.17
S12,1.0862,0.3308,3.28,10.8,2.468,0.145
S16,-1.0025,0.323,3.1,11.34,2.601,0.13
S20,0.9203,0.3264,2.82,11.94,2.762,0.085
S17,-0.7493,0.3051,2.46,13.65,3.098,0.025
S6,-0.5937,0.3155,1.88,15.445,3.864,0.01
S9,-0.5838,0.2926,2.0,15.435,3.482,0.0
S8,0.3473,0.3016,1.15,18.3,3.957,0.0
S14,0.2794,0.3255,0.86,18.53,3.814,0.0
OS2,0.1304,0.3257,0.4,19.76,3.526,0.0
S19,-0.1177,0.3393,0.35,19.9,3.624,0.0
S18,-0.0861,0.3117,0.28,20.285,3.52,0.0
S10,-0.0535,0.2945,0.18,20.405,3.033,0.0
S5,-0.0302,0.3023,0.1,20.38,3.322,0.0
OS3,-0.0231,0.3108,0.07,20.175,3.25,0.0
OS1,0.022,0.2878,0.08,20.64,3.332,0.0
S1,-0.0088,0.3032,0.03,20.385,3.22,0.0
