method,rank,modal_feature,modal_share,n_distinct_features,normalised_entropy,mean_abs_weight
LIME,1,time,1.0,1,-0.0,43.0037
LIME,2,S15,1.0,1,-0.0,16.3585
LIME,3,S11,1.0,1,-0.0,12.0814
LIME,4,S4,1.0,1,-0.0,7.4593
LIME,5,S13,1.0,1,-0.0,4.8535
LIME,6,S3,0.87,2,0.12,2.4654
LIME,7,S7,0.485,10,0.4732,1.7585
LIME,8,S17,0.23,9,0.5998,0.9668
WA-LIME B=5,1,time,1.0,1,-0.0,42.9703
WA-LIME B=5,2,S15,1.0,1,-0.0,16.3569
WA-LIME B=5,3,S11,1.0,1,-0.0,12.0611
WA-LIME B=5,4,S4,1.0,1,-0.0,7.4598
WA-LIME B=5,5,S13,1.0,1,-0.0,4.872
WA-LIME B=5,6,S3,1.0,1,-0.0,2.3938
WA-LIME B=5,7,S7,0.88,4,0.1447,1.4246
WA-LIME B=5,8,S2,0.5,8,0.4271,0.6076
