method,rank,feature,share_of_runs
LIME,1,time,1.0
LIME,2,S15,1.0
LIME,3,S11,1.0
LIME,4,S4,1.0
LIME,5,S13,1.0
LIME,6,S3,0.87
LIME,6,S7,0.13
LIME,7,S7,0.485
LIME,7,S2,0.18
LIME,7,S3,0.13
LIME,7,S17,0.095
LIME,7,S9,0.07
LIME,7,S8,0.015
LIME,7,S14,0.01
LIME,7,S21,0.005
LIME,7,S19,0.005
LIME,7,S18,0.005
LIME,8,S17,0.23
LIME,8,S2,0.175
LIME,8,S8,0.155
LIME,8,S14,0.15
LIME,8,S9,0.13
LIME,8,S19,0.09
LIME,8,S18,0.055
LIME,8,S12,0.01
LIME,8,S16,0.005
WA-LIME B=5,1,time,1.0
WA-LIME B=5,2,S15,1.0
WA-LIME B=5,3,S11,1.0
WA-LIME B=5,4,S4,1.0
WA-LIME B=5,5,S13,1.0
WA-LIME B=5,6,S3,1.0
WA-LIME B=5,7,S7,0.88
WA-LIME B=5,7,S2,0.08
WA-LIME B=5,7,S17,0.03
WA-LIME B=5,7,S9,0.01
WA-LIME B=5,8,S2,0.5
WA-LIME B=5,8,S17,0.27
WA-LIME B=5,8,S7,0.1
WA-LIME B=5,8,S9,0.06
WA-LIME B=5,8,S8,0.03
WA-LIME B=5,8,S14,0.02
WA-LIME B=5,8,S21,0.01
WA-LIME B=5,8,S20,0.01
